Date,Description,Debit,Credit,Category
"Jun 30, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services
"Jun 10, 2020",FTHGROUPINC 626-333-2435 CA,35,,Services
"May 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services
"Apr 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services
"Apr 01, 2020",VALLEY VISTA SERVICES CITY OF INDUSCA,50.73,,Services
"Mar 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services
"Feb 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services
"Jan 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services
"Jan 01, 2020",GOOGLE *GSUITE_avant-c cc@google.comCA,11.8,,Services
"Jun 03, 2020",SMOG PROS TEST ONLY ROWLAND HEIGHCA,58,,Vehicle Services
"Jan 11, 2020",KNOTT'S BERRY FARM PARKINBUENA PARK CA,20,,Vehicle Services
"Jul 07, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,52.94,,Merchandise
"Mar 01, 2020",COSTCO WHSE #0777 LA HABRA CA,66.62,,Merchandise
"Jul 20, 2020",COSTCO GAS #0777 LA HABRA CA,23.48,,Vehicle Services
"Jul 02, 2020",COSTCO GAS #0777 LA HABRA CA,21.99,,Vehicle Services
"Jun 11, 2020",COSTCO GAS #0777 LA HABRA CA,26.95,,Vehicle Services
"May 10, 2020",COSTCO GAS #0777 LA HABRA CA,19.86,,Vehicle Services
"Mar 01, 2020",COSTCO GAS #0777 LA HABRA CA,36.72,,Vehicle Services
